대여소번호,대여건수,반납건수,총이용건수,자치구,대여소명,위도,경도,순유출,지역명
237,1638.5833333333333,1729.75,3368.3333333333335,동작구,237. 보라매 두산위브 건너편,37.561447,127.03492,-91.16666666666674,동작구 보라매 두산위브 건너편
238,2505.1666666666665,2503.4166666666665,5008.583333333333,영등포구,238. 제2구민체육센타 앞,37.548641,127.016426,1.75,영등포구 제2구민체육센타 앞
239,1208.5,1142.0,2350.5,영등포구,239. 유스호스텔 앞,37.543663,127.014061,66.5,영등포구 유스호스텔 앞
240,3695.75,3462.9166666666665,7158.666666666667,영등포구,240. 문래역 4번출구 앞,37.5522,127.025055,232.83333333333348,영등포구 문래역 4번출구 앞
241,938.5833333333334,912.5833333333334,1851.1666666666667,영등포구,241. 신길우성1차아파트 앞 공원,37.558052,127.040352,26.0,영등포구 신길우성1차아파트 앞 공원
242,1000.5833333333334,512.1666666666666,1512.75,영등포구,242. 신길선원가와인아파트 앞,37.563511,127.056725,488.41666666666674,영등포구 신길선원가와인아파트 앞
243,3361.9166666666665,3428.8333333333335,6790.75,영등포구,243. 이앤씨드림타워 앞,37.561371,127.06366,-66.91666666666697,영등포구 이앤씨드림타워 앞
244,1825.4166666666667,1681.75,3507.1666666666665,영등포구,244. 영등포삼환아파트 앞,37.568748,127.030403,143.66666666666674,영등포구 영등포삼환아파트 앞
245,2971.4166666666665,2990.8333333333335,5962.25,영등포구,245. 삼성생명 당산사옥 앞,37.548149,127.021088,-19.41666666666697,영등포구 삼성생명 당산사옥 앞
247,4430.166666666667,4467.333333333333,8897.5,영등포구,247. 당산역 10번출구 앞,37.553986,127.033592,-37.16666666666606,영등포구 당산역 10번출구 앞
248,867.25,864.5,1731.75,영등포구,248. 초원아파트 앞,37.55735,127.029213,2.75,영등포구 초원아파트 앞
249,1110.6666666666667,1147.1666666666667,2257.8333333333335,영등포구,249. 여의도중학교 옆,37.560356,127.041397,-36.5,영등포구 여의도중학교 옆
250,551.25,510.5,1061.75,영등포구,250. 대림아파트 사거리,37.56765,127.051155,40.75,영등포구 대림아파트 사거리
251,696.5,591.1666666666666,1287.6666666666667,영등포구,251. 서울지방병무청 버스정류장,37.57164,127.03566,105.33333333333337,영등포구 서울지방병무청 버스정류장
252,1308.3333333333333,1533.6666666666667,2842.0,영등포구,252. 보라매역4번출구,37.559795,127.074203,-225.33333333333348,영등포구 보라매역4번출구
254,1518.0833333333333,1600.0,3118.0833333333335,영등포구,254. 도림신협 앞,37.535824,127.094162,-81.91666666666674,영등포구 도림신협 앞
255,1309.25,1329.1666666666667,2638.4166666666665,영등포구,255. 도림사거리,37.535988,127.094627,-19.916666666666742,영등포구 도림사거리
256,1104.0,1068.0833333333333,2172.0833333333335,영등포구,256. 동아에코빌입구,37.54073,127.102905,35.91666666666674,영등포구 동아에코빌입구
258,1676.6666666666667,1698.75,3375.4166666666665,영등포구,258. 신길역3번출구,37.52977,127.07486,-22.083333333333258,영등포구 신길역3번출구
259,2793.25,2939.5,5732.75,영등포구,259. 대방역6번출구,37.551224,127.089706,-146.25,영등포구 대방역6번출구
260,419.4166666666667,382.75,802.1666666666666,영등포구,260. 여의도 마리나선착장 앞,37.589912,127.06868,36.666666666666686,영등포구 여의도 마리나선착장 앞
263,3436.5833333333335,3527.0,6963.583333333333,영등포구,263. 근로자회관 사거리,37.572655,127.063637,-90.41666666666652,영등포구 근로자회관 사거리
264,1694.8333333333333,1473.0,3167.8333333333335,영등포구,264. 교보생명보험 앞,37.569656,127.055962,221.83333333333326,영등포구 교보생명보험 앞
265,1669.9166666666667,1564.6666666666667,3234.5833333333335,영등포구,265. 영등포유통상가 사거리,37.5742,127.026497,105.25,영등포구 영등포유통상가 사거리
266,1520.0,1485.25,3005.25,영등포구,266. 영등포청과시장 사거리,37.584625,127.07029,34.75,영등포구 영등포청과시장 사거리
267,1970.3333333333333,1869.3333333333333,3839.6666666666665,영등포구,267. 삼성화재 사옥 옆,37.602711,127.067863,101.0,영등포구 삼성화재 사옥 옆
268,2203.5,2206.9166666666665,4410.416666666667,영등포구,268. 그랜드컨벤션센터 앞,37.58131,127.055344,-3.416666666666515,영등포구 그랜드컨벤션센터 앞
270,1211.9166666666667,1194.5,2406.4166666666665,영등포구,270. 증권거래소후문교차로,37.573086,127.052162,17.416666666666742,영등포구 증권거래소후문교차로
